date,license,in time,out time
01/08/2024,YP97940CA,07:02:18,08:38:51
01/08/2024,YP78166CA,07:02:30,08:11:42
01/08/2024,9G63202CA,07:02:52,07:47:17
01/08/2024,9G38846CA,07:03:27,07:58:53
01/08/2024,9G39763CA,07:03:58,08:38:03
01/08/2024,9E28827CA,07:04:21,07:47:59
01/08/2024,9F88779CA,07:04:34,08:18:03
01/08/2024,YP97894CA,07:05:28,07:50:42
01/08/2024,9G55697CA,07:29:42,07:59:39
01/08/2024,64150ANV,07:41:39,08:39:57
01/08/2024,YAJA302CA,07:42:59,        
01/08/2024,9G60398CA,07:45:33,        
01/08/2024,9D44886CA,07:53:10,08:08:40
01/08/2024,9G91782CA,08:01:10,09:08:15
01/08/2024,78079ANV,08:19:29,08:35:42
01/08/2024,9E50711CA,08:22:57,09:45:16
01/08/2024,9G73989CA,08:29:14,09:12:10
01/08/2024,9G00015CA,08:39:11,09:12:04
01/08/2024,9F76662CA,08:40:44,        
01/08/2024,FS2687IA,08:42:24,09:00:14
01/08/2024,9G03887CA,08:44:41,09:17:13
01/08/2024,9G82991CA,08:46:07,09:28:54
01/08/2024,9G47341CA,08:47:09,09:00:35
01/08/2024,9F91764CA,08:48:31,09:20:42
01/08/2024,9G79155CA,08:49:43,09:21:07
01/08/2024,YP78149CA,08:51:11,09:01:49
01/08/2024,9F76181CA,08:55:48,09:26:19
01/08/2024,9E94268CA,08:56:56,09:27:29
01/08/2024,9E71078CA,08:57:56,09:27:39
01/08/2024,9G63929CA,08:58:23,09:41:28
01/08/2024,FP9106CA,09:00:02,09:18:02
01/08/2024,9E71157CA,09:00:41,09:43:30
01/08/2024,9E58206CA,09:08:20,09:33:08
01/08/2024,9F26215CA,09:10:21,09:26:03
01/08/2024,K8446HYTN,09:12:43,09:42:31
01/08/2024,9G44117CA,09:15:15,09:28:31
01/08/2024,9G70897CA,09:16:23,09:42:49
01/08/2024,9G55697CA,09:21:39,09:45:52
01/08/2024,R0013HYTN,09:23:26,09:58:13
01/08/2024,YP12501CA,09:25:36,09:35:57
01/08/2024,9G27425CA,09:26:34,09:36:05
01/08/2024,9G38846CA,09:26:43,10:04:15
01/08/2024,YP80833CA,09:28:41,        
01/08/2024,9G80250CA,09:29:41,09:48:43
01/08/2024,9E58229CA,09:34:26,10:24:26
01/08/2024,12345CA,09:37:31,        
01/08/2024,YP93759CA,09:43:02,        
